Név;Neme;Részleg;Belépés;Bér
Nagy Antal;férfi;karbantartás;1986;309611
Oláh Gáspár;férfi;karbantartás;1988;137158
Öregh Amália;nő;személyzeti;2016;315782
Somogyi Erika;nő;karbantartás;2016;193363
Izmos Vilmos;férfi;szerelőműhely;2011;298796
Kovács János;férfi;asztalosműhely;1986;212865
Pokol Petúnia;nő;beszerzés;1973;256368
Bak Dániel;férfi;pénzügy;1983;496106
Fekete Andrea;nő;értékesítés;1989;124880
Gáspár Olga;nő;karbantartás;2010;298381
Ináncsi József;férfi;karbantartás;2001;199721
Szabó András;férfi;beszerzés;2009;269287
Erdős Árpád;férfi;szerelőműhely;2009;220353
Kiss Jenő;férfi;karbantartás;1973;324666
